课程代码,课程名称,课程英文名称,课程性质,开课学院,任课老师,学分,起止周,上课地点,上课时间,班级
MKT101,市场营销学,Marketing,自由选修课,工商管理学院,翁智刚/李先春,3.0,1-17,C407;C407,"周三第5,6节{第1-17周};周三第7节{第1-17周}",2022级财务管理（智能财务）
MKT101,市场营销学,Marketing,大类平台课,工商管理学院,吴邦刚,3.0,1-17,H201;H201,"周三第5,6节{第1-17周};周三第7节{第1-17周}",2024级工商管理类
MKT101,市场营销学,Marketing,自由选修课,工商管理学院,熊希灵,3.0,1-17,C503,"周三第10,11,12节{第1-17周}",2022级财务管理（智能财务）
MKT101,市场营销学,Marketing,自由选修课,工商管理学院,张煜,3.0,1-17,H213,"周四第10,11,12节{第1-17周}",2022级会计学（大数据会计）
MKT101,市场营销学,Marketing,自由选修课,工商管理学院,张煜,3.0,1-17,H112;H112,"周五第5,6节{第1-17周};周五第7节{第1-17周}",2022级会计学（大数据会计）
MKT101,市场营销学,Marketing,自由选修课,工商管理学院,朱兢/谢庆红,3.0,1-17,B408;B408,"周二第1,2节{第1-17周};周二第3节{第1-17周}",2022级会计学（双语实验班）
MKT901,市场营销学（英）,Marketing(English),专业方向课,工商管理学院,白璇,3.0,1-17,H201;H201;H201,周四第6节{第1-17周};周四第7节{第1-17周};周四第8节{第1-17周},2022级物流管理（运营管理与商务分析）
MKT901,市场营销学（英）,Marketing(English),专业方向课,工商管理学院,白璇,3.0,1-17,H402;H402;H402,周一第6节{第1-17周};周一第7节{第1-17周};周一第8节{第1-17周},2022级信息管理与信息系统（信息系统与数据管理）
MKT901,市场营销学（英）,Marketing(English),专业方向课,工商管理学院,熊希灵,3.0,1-17,H308;H308,"周二第1,2节{第1-17周};周二第3节{第1-17周}",2022级金融数学（金融服务与量化分析）
MKT901,市场营销学（英）,Marketing(English),专业方向课,经济与管理研究院,刘小燕,3.0,1-17,C103;C103,"周一第5,6节{第1-17周};周一第7节{第1-17周}",2022级会计学（经管国际化创新实验班）
BBA119,市场营销中外毕业论文,Graduation Thesis in Marketing Dual-Degree Program,实践环节课,工商管理学院,陈华蓉,8.0,1-17,,,2021级市场营销（金融服务与营销）
BBA111,市场营销中外毕业实习,Graduation Internship in Marketing Dual-Degree Program,实践环节课,工商管理学院,王宇,6.0,1-17,,,2021级市场营销（金融服务与营销）
INS326,寿险精算II,Life Insurance Mathematics II,专业方向课,金融学院,徐雅静,3.0,1-17,B403;B403,"周一第5,6节{第1-17周};周一第7节{第1-17周}",2022级精算学
INS826,寿险精算Ⅱ（双语）,Life Insurance Mathematics Ⅱ(Bilingual),专业方向课,金融学院,郑文渊,3.0,1-17,H110;H110,"周二第1,2节{第1-17周};周二第3节{第1-17周}",2022级保险学（精算双语实验班）
ART003,书法鉴赏,Appreciation of Calligraphy,通识核心课,人文与艺术学院,宋晓希,2.0,1-17,H101,"周四第8,9节{第1-17周}",2023级大数据管理与应用
SFS503,数据处理分析及软件应用,Data Processing Analysis and Software Application,专业方向课,金融学院,尹玉刚,3.0,1-17,C304,"周三第10,11,12节{第1-17周}",2022级金融学（证券与期货方向）
MSC902,数据分析（Python）（英）,Data Analysis(Python)(English),专业方向课,管理科学与工程学院,刘凌,3.0,1-17,I402A;I402A,"周五第5,6节{第1-17周};周五第7节{第1-17周}",2022级数字经济
MSC902,数据分析（Python）（英）,Data Analysis(Python)(English),专业方向课,管理科学与工程学院,张阳,3.0,1-17,H204,"周四第10,11,12节{第1-17周}",2023级数学与应用数学
IDS447,数据分析和质量控制（英）,Data Analysis and Quality Control (English),专业方向课,特拉华数据科学学院,Bharat Suresh Patil,3.0,1-8,I103;I103;I103;I103,"周二第1,2节{第1-8周};周二第3,4节{第1-8周};周五第1,2节{第1-8周};周五第3节{第1-8周}",2022级物流管理（运营管理与商务分析）
FIN944,数据分析与统计软件,Data Analysis And Statistical Software,专业方向课,经济与管理研究院,夏一鸣,2.0,1-9,I201,"周四第10,11,12节{第1-9周}",2023级金融学（经管国际化创新实验班）
FIN944,数据分析与统计软件,Data Analysis And Statistical Software,专业方向课,经济与管理研究院,夏一鸣,2.0,1-9,I201;I201,"周四第5,6节{第1-9周};周四第7节{第1-9周}",2023级金融学（经管国际化创新实验班）
CST202,数据结构,Data Structures,专业方向课,计算机与人工智能学院,黄涛,3.0,1-17,E104;E104,"周三第1,2节{第1-17周};周三第3节{第1-17周}",2023级金融工程
CST202,数据结构,Data Structures,专业方向课,计算机与人工智能学院,黄涛,3.0,1-17,E103;E103,"周三第5,6节{第1-17周};周三第7节{第1-17周}",2023级金融工程
CST202,数据结构,Data Structures,通识基础课,计算机与人工智能学院,黄涛,3.0,1-17,E204;E204,"周四第1,2节{第1-17周};周四第3节{第1-17周}",2023级金融科技
CST124,数据结构（C语言）,Data Structures (C Language),学科基础课,计算机与人工智能学院,龚凯,3.0,1-17,E302,"周三第10,11,12节{第1-17周}",2024级计算机类
CST124,数据结构（C语言）,Data Structures (C Language),学科基础课,计算机与人工智能学院,龚凯,3.0,1-17,E302;E302,"周三第5,6节{第1-17周};周三第7节{第1-17周}",2024级计算机类
CST124,数据结构（C语言）,Data Structures (C Language),通识基础课,计算机与人工智能学院,龚凯,3.0,1-17,H313,"周一第10,11,12节{第1-17周}",2024级计算机科学与技术（基础学科拔尖实验班）
JTC002,数据结构与算法I,Data Structure and Algorithm I,专业必修课,金融学院,戴波,2.5,1-14,B405;B405;B405,周一第6节{第1-14周};周一第7节{第1-14周};周一第8节{第1-14周},2024级金融学（智能金融与区块链金融）
DSC202,数据可视化,Data Visualization,专业方向课,统计学院,李蔓,3.0,1-17,J212;J212,"周一第5,6节{第1-17周};周一第7节{第1-17周}",2022级税收学（数字财税光华实验班）
IDS330,数据库设计与实现（英）,Database Design & Implementation (English),专业必修课,特拉华数据科学学院,张乐婷,3.0,1-8,I102;I102;I102;I102;I102;I102,"周三第6节{第1-8周};周三第7节{第1-8周};周三第8节{第1-8周};周五第6节{第1-8周};周五第7节{第1-8周};周五第8,9节{第1-8周}",2022级信息管理与信息系统（信息系统与数据管理）
IDS330,数据库设计与实现（英）,Database Design & Implementation (English),专业必修课,特拉华数据科学学院,张乐婷,3.0,1-8,I303;I303;I303;I303,"周一第1,2节{第1-8周};周一第3节{第1-8周};周四第1,2节{第1-8周};周四第3,4节{第1-8周}",2022级物流管理（运营管理与商务分析）
IDS330,数据库设计与实现（英）,Database Design & Implementation (English),专业必修课,特拉华数据科学学院,张乐婷,3.0,1-8,I103;;I103;;I103;I103;,"周一第10,11,12节{第1-8周};周四第6节{第8-8周|双周};周四第6节{第1-7周};周四第7节{第8-8周|双周};周四第7节{第1-7周};周四第8,9节{第1-7周};周四第8,9节{第8-8周|双周}",2022级金融数学（金融服务与量化分析）
CST205,数据库原理与应用,Database Theories and Application,专业必修课,管理科学与工程学院,马丹/孟丹,3.0,1-17,I401A;I401A,"周四第1,2节{第1-17周};周四第3节{第1-17周}",2023级大数据管理与应用
CST205,数据库原理与应用,Database Theories and Application,专业必修课,管理科学与工程学院,马丹/孟丹,3.0,1-17,I401A;I401A,"周四第5,6节{第1-17周};周四第7节{第1-17周}",2023级大数据管理与应用
CST205,数据库原理与应用,Database Theories and Application,专业方向课,计算机与人工智能学院,陈中普,3.0,1-17,H103,"周四第10,11,12节{第1-17周}",2022级数据科学与大数据技术
CST205,数据库原理与应用,Database Theories and Application,大学科基础课,计算机与人工智能学院,李玉蓉,3.0,1-17,F201,"周二第10,11,12节{第1-17周}",2023级计算机科学与技术
CST205,数据库原理与应用,Database Theories and Application,大学科基础课,计算机与人工智能学院,李玉蓉,3.0,1-17,H206;H206,"周五第1,2节{第1-17周};周五第3节{第1-17周}",2023级计算机科学与技术
CST205,数据库原理与应用,Database Theories and Application,大学科基础课,计算机与人工智能学院,李玉蓉,3.0,1-17,H206;H206,"周五第5,6节{第1-17周};周五第7节{第1-17周}",2023级计算机科学与技术
CST209,数据挖掘,Machine Learning and Data Mining,专业方向课,管理科学与工程学院,张阳/熊杰,3.0,1-17,C404,"周一第10,11,12节{第1-17周}",2022级数学与应用数学（数学与经济学双学位）
CST209,数据挖掘,Machine Learning and Data Mining,专业方向课,管理科学与工程学院,张阳/熊杰,3.0,1-17,C407;C407,"周一第5,6节{第1-17周};周一第7节{第1-17周}",2022级金融数学
DSC323,数据智能方法II,Data Intelligence Methods II,专业选修课,统计学院,陈骋,2.0,1-17,I204,"周一第8,9节{第1-17周}",2024级经济统计学
DSC403,数据智能前沿,Frontiers in Data Intelligence,专业必修课,统计学院,李可/黄雁勇,3.0,1-17,H208;H208,"周五第5,6节{第1-17周};周五第7节{第1-17周}",2022级数据科学与大数据技术
DSC403,数据智能前沿,Frontiers in Data Intelligence,专业方向课,统计学院,谭莹,3.0,1-17,F103,"周二第10,11,12节{第1-17周}",2022级经济统计学
MAT449,数理经济学,Mathematical Economics,专业必修课,数学学院,王鸣晖,3.0,1-17,C205,"周二第10,11,12节{第1-17周}",2022级数学与应用数学（数学与经济学双学位）
MAT513,数理统计,Mathematical Statistics,大学科基础课,数学学院,李绍文,3.0,1-17,C202;C202,"周二第1,2节{第1-17周};周二第3节{第1-17周}",2023级信息管理与信息系统（信息系统与数据管理）
MAT513,数理统计,Mathematical Statistics,大学科基础课,数学学院,李绍文,3.0,1-17,C504;C504,"周三第1,2节{第1-17周};周三第3节{第1-17周}",2023级金融数学（金融服务与量化分析）
MAT513,数理统计,Mathematical Statistics,大学科基础课,数学学院,李绍文,3.0,1-17,C202;C202,"周四第1,2节{第1-17周};周四第3节{第1-17周}",2023级物流管理（运营管理与商务分析）
MAT513,数理统计,Mathematical Statistics,大学科基础课,数学学院,李绍文,3.0,1-17,C504;C504,"周四第5,6节{第1-17周};周四第7节{第1-17周}",2023级计算金融
MAT513,数理统计,Mathematical Statistics,专业必修课,数学学院,林谦,3.0,1-17,C401;C401,"周三第1,2节{第1-17周};周三第3节{第1-17周}",2023级数学与应用数学
MAT513,数理统计,Mathematical Statistics,大学科基础课,数学学院,林谦,3.0,1-17,H308;H308,"周三第5,6节{第1-17周};周三第7节{第1-17周}",2023级数学与应用数学（金融数学光华实验班）
FIN818,数理统计(双语）,Mathematical Statistics(Bilingual),大学科基础课,金融学院,凌星,3.0,1-17,B206,"周二第10,11,12节{第1-17周}",2023级金融学（双语实验班）
FIN818,数理统计(双语）,Mathematical Statistics(Bilingual),大学科基础课,金融学院,凌星,3.0,1-17,B206,"周四第10,11,12节{第1-17周}",2023级金融学（双语实验班）
STA302,数理统计（理）,Mathematical Statistics(Science),大学科基础课,金融学院,自动生成,4.0,2-17,,,辅修课
STA302,数理统计（理）,Mathematical Statistics(Science),专业必修课,统计学院,戴明伟/陈雪蓉,3.0,1-17,H315,"周二第10,11,12节{第1-17周}",2023级经济统计学
STA302,数理统计（理）,Mathematical Statistics(Science),专业方向课,统计学院,高春燕,3.0,1-17,H106,"周四第10,11,12节{第1-17周}",2023级大数据管理与应用
STA302,数理统计（理）,Mathematical Statistics(Science),大学科基础课,统计学院,郭维康,3.0,1-17,H306,"周三第10,11,12节{第1-17周}",2023级财务管理
STA302,数理统计（理）,Mathematical Statistics(Science),通识基础课,统计学院,郭维康,3.0,1-17,C402,"周一第10,11,12节{第1-17周}",2023级保险学（精算双语实验班）
STA302,数理统计（理）,Mathematical Statistics(Science),大学科基础课,统计学院,兰伟/王籼入,3.0,1-17,E303,"周二第10,11,12节{第1-17周}",2023级会计学（注册会计师专门化方向）
STA302,数理统计（理）,Mathematical Statistics(Science),大学科基础课,统计学院,马铁丰,3.0,1-17,G101,"周二第10,11,12节{第1-17周}",2023级金融学
STA302,数理统计（理）,Mathematical Statistics(Science),大学科基础课,统计学院,马铁丰,3.0,1-17,E204,"周一第10,11,12节{第1-17周}",2023级会计学（大数据会计）
STA302,数理统计（理）,Mathematical Statistics(Science),大学科基础课,统计学院,马昀蓓,3.0,1-17,E203;E203,"周三第5,6节{第1-17周};周三第7节{第1-17周}",2023级金融学（证券与期货方向）
STA302,数理统计（理）,Mathematical Statistics(Science),大学科基础课,统计学院,马昀蓓,3.0,1-17,E204;E204,"周四第5,6节{第1-17周};周四第7节{第1-17周}",2023级会计学（大数据会计光华实验班）
STA302,数理统计（理）,Mathematical Statistics(Science),大学科基础课,统计学院,佘睿,3.0,1-17,E304,"周二第10,11,12节{第1-17周}",2023级金融工程
DSC204,数理统计原理,Elements of Mathematical Statistics,大学科基础课,统计学院,陈磊,3.0,1-17,H202,"周四第10,11,12节{第1-17周}",2023级经济统计学（金融统计与风险管理光华实验班）
DSC204,数理统计原理,Elements of Mathematical Statistics,大学科基础课,统计学院,何婧/常晋源,3.0,1-17,H315;H315,"周三第5,6节{第1-17周};周三第7节{第1-17周}",2023级数据科学与大数据技术
MAT902,数学分析II（英文）,Mathematical Analysis II（English）,通识基础课,数学学院,郭训香,5.0,1-17,C304;C304;C304;C304,"周二第1,2节{第1-17周};周二第3节{第1-17周};周四第1,2节{第1-17周};周四第3节{第1-17周}",2024级信息管理与信息系统（信息系统与数据管理）
MAT902,数学分析II（英文）,Mathematical Analysis II（English）,通识基础课,数学学院,郭训香,5.0,1-17,C402;C402;C402;C402,"周三第1,2节{第1-17周};周三第3节{第1-17周};周五第1,2节{第1-17周};周五第3节{第1-17周}",2024级物流管理（运营管理与商务分析）
MAT902,数学分析II（英文）,Mathematical Analysis II（English）,通识基础课,数学学院,郭训香,5.0,1-17,C402;C402;C402;C402,"周三第5,6节{第1-17周};周三第7节{第1-17周};周五第5,6节{第1-17周};周五第7节{第1-17周}",2024级金融数学（金融服务与量化分析）
MAT514,数学分析Ⅰ（理科）（重修）,Mathematical Analysis Ⅰ（Science）,通识基础课,数学学院,方敏/刘伟,6.0,6-16,F101;F101,"周三第5,6节{第6-16周};周三第7节{第6-16周}",2020级金融数学
MAT402,数学分析Ⅱ,Mathematical Analysis Ⅱ,通识基础课,数学学院,陈小平,6.0,1-17,C206;C206;C206;C206,"周二第1,2节{第1-17周};周二第3节{第1-17周};周三第5,6节{第1-17周};周三第7节{第1-17周}",2024级金融工程
MAT402,数学分析Ⅱ,Mathematical Analysis Ⅱ,通识基础课,数学学院,崔红卫,6.0,1-17,H204;H204;H204;H204,"周二第1,2节{第1-17周};周二第3节{第1-17周};周四第5,6节{第1-17周};周四第7节{第1-17周}",2024级统计学类
MAT402,数学分析Ⅱ,Mathematical Analysis Ⅱ,通识基础课,数学学院,崔红卫,6.0,1-17,H204;H204;H204,"周二第10,11,12节{第1-17周};周四第1,2节{第1-17周};周四第3节{第1-17周}",2024级管理科学与工程类
MAT402,数学分析Ⅱ,Mathematical Analysis Ⅱ,通识基础课,数学学院,邓汝良,6.0,1-17,C204;C204;C204;C204,"周二第1,2节{第1-17周};周二第3节{第1-17周};周四第5,6节{第1-17周};周四第7节{第1-17周}",2024级金融科技
MAT402,数学分析Ⅱ,Mathematical Analysis Ⅱ,通识基础课,数学学院,邓汝良,6.0,1-17,C204;C204;C204,"周二第10,11,12节{第1-17周};周四第1,2节{第1-17周};周四第3节{第1-17周}",2024级管理科学与工程类
MAT402,数学分析Ⅱ,Mathematical Analysis Ⅱ,通识基础课,数学学院,李涛,6.0,1-17,H312;H312;H312;H312,"周二第1,2节{第1-17周};周二第3节{第1-17周};周四第5,6节{第1-17周};周四第7节{第1-17周}",2024级统计学类
MAT402,数学分析Ⅱ,Mathematical Analysis Ⅱ,通识基础课,数学学院,李涛,6.0,1-17,H107;H312;H312,"周二第10,11,12节{第1-17周};周四第1,2节{第1-17周};周四第3节{第1-17周}",2024级管理科学与工程类
MAT402,数学分析Ⅱ,Mathematical Analysis Ⅱ,通识基础课,数学学院,刘伟,6.0,1-17,H212;H212,"周二第10,11,12节{第1-17周};周三第10,11,12节{第1-17周}",2024级经济统计学
MAT402,数学分析Ⅱ,Mathematical Analysis Ⅱ,通识基础课,数学学院,马敬堂,6.0,1-17,C202;C202,"周三第10,11,12节{第1-17周};周四第10,11,12节{第1-17周}",2024级精算学
MAT402,数学分析Ⅱ,Mathematical Analysis Ⅱ,通识基础课,数学学院,王永富,6.0,1-17,C207;C207;C207;C207,"周二第1,2节{第1-17周};周二第3节{第1-17周};周三第5,6节{第1-17周};周三第7节{第1-17周}",2024级金融工程
MAT515,数学分析Ⅱ（理科）,Mathematical Analysis Ⅱ（Science）,通识基础课,数学学院,方敏,6.0,1-17,C203;C203;C203;C203,"周一第1,2节{第1-17周};周一第3节{第1-17周};周四第1,2节{第1-17周};周四第3节{第1-17周}",2024级数字经济（基础学科拔尖实验班）
MAT515,数学分析Ⅱ（理科）,Mathematical Analysis Ⅱ（Science）,通识基础课,数学学院,方敏,6.0,1-17,C205;C205;C205;C205,"周一第5,6节{第1-17周};周一第7节{第1-17周};周四第5,6节{第1-17周};周四第7节{第1-17周}",2024级计算机科学与技术（基础学科拔尖实验班）
MAT515,数学分析Ⅱ（理科）,Mathematical Analysis Ⅱ（Science）,通识基础课,数学学院,黎伟,6.0,1-17,H208;H208;H208;H208,"周一第1,2节{第1-17周};周一第3节{第1-17周};周三第1,2节{第1-17周};周三第3节{第1-17周}",2024级金融数学
MAT515,数学分析Ⅱ（理科）,Mathematical Analysis Ⅱ（Science）,通识基础课,数学学院,黎伟,6.0,1-17,E201;E201;H107;H107,"周一第5,6节{第1-17周};周一第7节{第1-17周};周三第5,6节{第1-17周};周三第7节{第1-17周}",2024级数学与应用数学（数学与经济学双学位）
MAT515,数学分析Ⅱ（理科）,Mathematical Analysis Ⅱ（Science）,通识基础课,数学学院,梁之磊,6.0,1-17,C306;C306;C306,"周二第10,11,12节{第1-17周};周五第5,6节{第1-17周};周五第7节{第1-17周}",2024级数学与应用数学（基础学科拔尖实验班）
MAT517,数学建模与数学实验,Mathematical Modeling and Experiments,专业方向课,数学学院,孙云龙,3.0,1-17,G102;G102,"周二第1,2节{第1-17周};周二第3节{第1-17周}",2022级大数据管理与应用
MAT517,数学建模与数学实验,Mathematical Modeling and Experiments,实践环节课,数学学院,孙云龙,3.0,1-17,H212;H212,"周一第1,2节{第1-17周};周一第3节{第1-17周}",2023级数学与应用数学
MAT517,数学建模与数学实验,Mathematical Modeling and Experiments,实践环节课,数学学院,孙云龙,3.0,1-17,H212;H212,"周一第5,6节{第1-17周};周一第7节{第1-17周}",2023级计算金融
MAT106,数学与应用数学毕业论文,Graduation Thesis of Mathmatics,实践环节课,数学学院,张洋铭,8.0,1-17,,,2021级数学与应用数学（经济数学方向）
MAT103,数学与应用数学毕业实习,Graduation Internship of Mathmatics,实践环节课,数学学院,张洋铭,6.0,1-17,,,2021级数学与应用数学（经济数学方向）
MAT518,数值分析,Numerical Analysis,专业必修课,数学学院,章丽,3.0,1-17,B102;B102,"周三第7节{第1-17周};周三第8,9节{第1-17周}",2023级计算金融
TAX203,数智税收征管,"Artificial Intelligence and 

Tax Collection and 

Management",专业方向课,财政税务学院,黄昊,3.0,1-17,J108;J108,"周五第5,6节{第1-17周};周五第7节{第1-17周}",2022级税收学（数字财税光华实验班）
TAX109,数字财税实验班毕业论文,Graduation Thesis in Digital Public Finance,实践环节课,财政税务学院,张佩蕾,8.0,1-17,,,2021级税收学（数字财税光华实验班）
TAX105,数字财税实验班毕业实习,Graduation Internship in Digital Public Finance,实践环节课,财政税务学院,张佩蕾,6.0,1-17,,,2021级税收学（数字财税光华实验班）
FMA200,数字化财政管理,Digital Tax Management,专业必修课,财政税务学院,李娜/文峰/高跃光,3.0,1-17,B106;B106,"周五第1,2节{第1-17周};周五第3节{第1-17周}",2022级税收学（数字财税光华实验班）
FMA200,数字化财政管理,Digital Tax Management,专业必修课,财政税务学院,李娜/文峰/高跃光,3.0,1-17,H313;H313,"周五第5,6节{第1-17周};周五第7节{第1-17周}",2022级财政学
MKT907,数字化品牌管理（英）,Digital Brand Managementmanagement,专业方向课,工商管理学院,自动生成,3.0,2-9,C408;C408;C408,"周一第5,6节{第2-9周};周一第7节{第2-9周};周三第10,11,12节{第2-9周}",2023级市场营销（金融服务与营销）
MTA103,数字化休闲与旅游管理概论,Digital Leisure and Tourism Management,专业方向课,工商管理学院,张毓峰,3.0,1-17,C306;C306,"周一第5,6节{第1-17周};周一第7节{第1-17周}",2022级工商管理（数字化管理）
ART019,数字绘画,Digital Painting,实验与实践课,人文与艺术学院,贺英,3.0,1-17,诗白书院专业绘画教室;诗白书院专业绘画教室,"周四第7节{第1-17周};周四第8,9节{第1-17周}",2024级数字媒体艺术
ART019,数字绘画,Digital Painting,大学科基础课,人文与艺术学院,舒帝,3.0,5-17,H206;H206;H206,"周一第1,2节{第5-17周};周一第3,4节{第5-16周};周一第3节{第17-17周|单周}",2023级数字媒体艺术
HUM401,数字经济,Digital economics,通识核心课,经济学院,王长安,2.0,1-17,H301,"周二第3,4节{第1-17周}",2023级保险学
HUM401,数字经济,Digital economics,通识核心课,经济学院,王长安,2.0,1-17,C407,"周四第3,4节{第1-17周}",2024级工商管理类（会计学院）
HUM401,数字经济,Digital economics,通识核心课,经济学院,王军,2.0,1-17,H103,"周四第8,9节{第1-17周}",2024级财政学类
HUM401,数字经济,Digital economics,通识核心课,经济学院,杨璐,2.0,1-17,H104,"周四第8,9节{第1-17周}",2024级财政学类
HUM401,数字经济,Digital economics,通识核心课,经济学院,朱杰/王雨祥,2.0,1-17,C503,"周四第8,9节{第1-17周}",2024级财政学类
ECO114,数字经济毕业论文,Graduation Thesis in Digital Economics,实践环节课,经济学院,杨利,8.0,1-17,,,2021级数字经济
ECO111,数字经济毕业实习,Graduation Internship in Digital Economy,实践环节课,经济学院,方小书,6.0,1-17,,,2021级数字经济
ECO322,数字经济学,Digital economics,学科基础课,经济学院,韩文龙,3.0,1-17,J108,"周四第10,11,12节{第1-17周}",2024级经济学（国家经济学基础人才培养基地班）
TAX200,数字经济与国际税收,Digital Economy and International Taxation,专业方向课,财政税务学院,宋洋,3.0,1-17,B406,"周一第10,11,12节{第1-17周}",2023级税收学（数字财税光华实验班）
CST302,数字图像处理,Digital Image Processing,专业方向课,计算机与人工智能学院,尹诗白,3.0,1-17,I102;I102,"周三第1,2节{第1-17周};周三第3节{第1-17周}",2022级计算机科学与技术
CST302,数字图像处理,Digital Image Processing,专业必修课,计算机与人工智能学院,尹诗白,3.0,1-17,D201;D201,"周三第5,6节{第1-17周};周三第7节{第1-17周}",2022级人工智能
ART049,数字影音创作基础,Fundamentals of Digital Video Creation,大类平台课,人文与艺术学院,周鸿宇,3.0,2-14,B404;B404;B404,"周一第1,2节{第2-14周};周一第10,11节{第2-13周};周一第10节{第14-14周|双周}",2024级数字媒体艺术
ART020,数字影音设计,Audio and Video Design,大学科基础课,人文与艺术学院,周鸿宇,4.0,1-17,C208;C208,"周二第1,2节{第1-17周};周二第3,4节{第1-17周}",2023级数字媒体艺术
PAD108,数字政府与社会,Digital Government and Society,通识核心课,公共管理学院,谢鹏鑫/孟琳琳,2.0,1-17,H112,"周四第3,4节{第1-17周}",2024级汉语言文学
PAD108,数字政府与社会,Digital Government and Society,通识核心课,公共管理学院,钟慧/张文洁,2.0,1-17,H111,"周四第3,4节{第1-17周}",2024级汉语言文学
OPT632,数字政府与智慧治理,Digital Government and Smart Governance,专业方向课,公共管理学院,张文洁,3.0,1-17,B502;B502;B502,周四第6节{第1-17周};周四第7节{第1-17周};周四第8节{第1-17周},2023级行政管理
TAX204,税法,Tax Law,专业方向课,财政税务学院,郭彦男,3.0,1-17,C204;C204,"周五第1,2节{第1-17周};周五第3节{第1-17周}",2022级审计学（大数据审计）
TAX204,税法,Tax Law,专业方向课,财政税务学院,赵岭晓,3.0,1-17,B307;B307,"周二第1,2节{第1-17周};周二第3节{第1-17周}",2022级会计学（注册会计师专门化方向）
TAX204,税法,Tax Law,专业方向课,财政税务学院,赵岭晓,3.0,1-17,H310,"周二第10,11,12节{第1-17周}",2022级会计学（注册会计师专门化方向）
TAX202,税收学,Taxation,专业方向课,财政税务学院,黄策,3.0,1-17,B406,"周二第10,11,12节{第1-17周}",2023级税收学
TAX202,税收学,Taxation,专业方向课,财政税务学院,姜先登,3.0,1-17,B301,"周二第10,11,12节{第1-17周}",2023级税收学
TAX202,税收学,Taxation,专业方向课,财政税务学院,姜先登,3.0,1-17,B301,"周三第10,11,12节{第1-17周}",2023级税收学
TAX202,税收学,Taxation,专业方向课,财政税务学院,李建军,3.0,1-17,B202,"周三第10,11,12节{第1-17周}",2023级税收学
TAX202,税收学,Taxation,专业方向课,财政税务学院,余莎,3.0,1-17,B202,"周四第10,11,12节{第1-17周}",2023级税收学（数字财税光华实验班）
TAX107,税收学毕业论文,Graduation Thesis in Taxation,实践环节课,财政税务学院,张佩蕾,8.0,1-17,,,2021级税收学
TAX103,税收学毕业实习,Graduation Internship in Taxation,实践环节课,财政税务学院,张佩蕾,6.0,1-17,,,2021级税收学
TAX302,税务稽查与管理,Tax Audit and Management,专业方向课,财政税务学院,黄昊,3.0,1-17,H301,"周三第10,11,12节{第1-17周}",2022级税收学
IPT107,思想道德与法治,Morality and the Rule of Law,思想政治理论课,马克思主义学院,杜孝军,3.0,1-17,H102,"周四第1,2节{第1-17周}",2024级精算学
IPT107,思想道德与法治,Morality and the Rule of Law,思想政治理论课,马克思主义学院,杜孝军,3.0,1-17,H401,"周四第5,6节{第1-17周}",2024级金融工程
IPT107,思想道德与法治,Morality and the Rule of Law,思想政治理论课,马克思主义学院,杜孝军,3.0,1-17,H207,"周五第1,2节{第1-17周}",2024级金融学类
IPT107,思想道德与法治,Morality and the Rule of Law,思想政治理论课,马克思主义学院,杜孝军,3.0,1-17,H207,"周五第3,4节{第1-17周}",2024级管理科学与工程类
IPT107,思想道德与法治,Morality and the Rule of Law,思想政治理论课,马克思主义学院,杜颖,3.0,1-17,C302,"周四第1,2节{第1-17周}",2024级工商管理类（会计学院）
IPT107,思想道德与法治,Morality and the Rule of Law,思想政治理论课,马克思主义学院,杜颖,3.0,1-17,H304;H304,周四第6节{第1-17周};周四第7节{第1-17周},2024级经济统计学
IPT107,思想道德与法治,Morality and the Rule of Law,思想政治理论课,马克思主义学院,杜颖,3.0,1-17,H304,"周四第8,9节{第1-17周}",2024级会计学（中外合作办学）
IPT107,思想道德与法治,Morality and the Rule of Law,思想政治理论课,马克思主义学院,杜颖,3.0,1-17,H101,"周五第5,6节{第1-17周}",2024级金融学类
IPT107,思想道德与法治,Morality and the Rule of Law,思想政治理论课,马克思主义学院,杜颖,3.0,1-17,H403,"周五第8,9节{第1-17周}",2024级经济与贸易类
IPT107,思想道德与法治,Morality and the Rule of Law,思想政治理论课,马克思主义学院,段江波,3.0,1-17,H306,"周四第1,2节{第1-17周}",2024级精算学
IPT107,思想道德与法治,Morality and the Rule of Law,思想政治理论课,马克思主义学院,段江波,3.0,1-17,H212,"周四第5,6节{第1-17周}",2024级会计学（注册会计师专门化方向）
IPT107,思想道德与法治,Morality and the Rule of Law,思想政治理论课,马克思主义学院,段江波,3.0,1-17,H104,"周五第1,2节{第1-17周}",2024级金融学类
IPT107,思想道德与法治,Morality and the Rule of Law,思想政治理论课,马克思主义学院,段江波,3.0,1-17,H104,"周五第3,4节{第1-17周}",2024级管理科学与工程类
IPT107,思想道德与法治,Morality and the Rule of Law,思想政治理论课,马克思主义学院,黄佐毅,3.0,1-17,C308,"周四第1,2节{第1-17周}",2024级工商管理类（会计学院）
IPT107,思想道德与法治,Morality and the Rule of Law,思想政治理论课,马克思主义学院,黄佐毅,3.0,1-17,H312,"周四第8,9节{第1-17周}",2024级会计学（中外合作办学）
IPT107,思想道德与法治,Morality and the Rule of Law,思想政治理论课,马克思主义学院,黄佐毅,3.0,1-17,H103,"周五第5,6节{第1-17周}",2024级金融学类
